VAK [V],I_356 [1e-13 A],I_405 [1e-13 A],I_436 [1e-13 A],I_546 [1e-13 A],I_577 [1e-13 A]
-4.5,0,0,0,0,0
-4.4,0,0,0,0,0
-4.2,0,0,0,0,0
-4,0,0,0,0,0
-3.8,2,0,0,0,0
-3.6,3,0,0,0,0
-3.4,4,1,0,0,0
-3.2,4,1,0,0,0
-3,4,1,0,0,0
-2.8,5,0,0,0,0
-2.6,6,0,1,1,0
-2.4,7,1,1,2,0
-2.2,9,1,1,2,0
-2,12,2,2,2,0
-1.8,22,3,2,2,0
-1.6,83,4,2,3,0
-1.4,192,9,4,3,0
-1.2,304,34,11,3,0
-1,394,73,58,3,1
-0.8,504,109,120,6,1
-0.6,662,155,198,49,7
-0.4,835,209,274,185,80
-0.2,1055,277,370,390,195
0,1293,362,480,607,344
